agency_name,sector,language,families,written_tier,oral_tier,written_gap,oral_gap,gap_score,severity,families_unserved,evidence_url,capture_date,notes
Highline School District,schools,Amharic,164,0,0,164.0,164.0,164.0,1.0,164,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,Excluded from the restricted widget. District homepage names Amharic as a top family language. Policy 4218 translation right is undiscoverable in Amharic. OSPI template exists
Renton School District,schools,Spanish,2695,3,2,0.0,539.0,161.7,0.06,0,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,Named by the district as a top translation and interpretation language. Self-serve Google Translate instructions also published in Spanish
Tukwila School District,schools,Portuguese,157,0,1,157.0,109.89999999999999,142.9,0.91,157,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,Second-largest need in the district and absent from the 20 document languages and from the liaison roster. Portuguese appears in the site welcome banner only. Pocket Talk device is the only oral provision
Tukwila School District,schools,Dari,134,0,1,134.0,93.8,121.9,0.91,134,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,Fourth-largest need and absent from the 20 document languages and liaison roster. OSPI template exists
Kent School District,schools,Chinese-Cantonese,177,1,2,150.45,35.4,115.9,0.655,0,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,Covered by the unrestricted widget. No human-translated documents located
Highline School District,schools,Somali,215,2,2,129.0,43.0,103.2,0.48,0,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,In the widget. District also runs a Somali language instruction program
Renton School District,schools,Pashto,103,0,0,103.0,103.0,103.0,1.0,103,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,Absent from published documents and self-serve instruction languages. OSPI template exists
Highline School District,schools,Dari,203,2,2,121.8,40.6,97.4,0.48,0,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,"In the widget. Pashto is not, despite the same community"
Highline School District,schools,Pashto,94,0,0,94.0,94.0,94.0,1.0,94,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,Excluded from the widget though Dari is included. Same Afghan resettlement population. OSPI template exists
Renton School District,schools,Arabic,72,0,0,72.0,72.0,72.0,1.0,72,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,Absent from published documents and self-serve instruction languages. OSPI template exists
Federal Way School District,schools,Farsi,68,0,0,68.0,68.0,68.0,1.0,68,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,Not among the 11 plan languages. No website translation widget found. Language hotline exists but is advertised only in English. OSPI template exists
Highline School District,schools,French,67,0,0,67.0,67.0,67.0,1.0,67,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,Excluded from the widget. OSPI template exists
Federal Way School District,schools,French,67,0,0,67.0,67.0,67.0,1.0,67,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,Not among the 11 plan languages. OSPI template exists
Tukwila School District,schools,Pashto,67,0,1,67.0,46.9,61.0,0.91,67,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,Absent from the 20 document languages and liaison roster. OSPI template exists
Highline School District,schools,Arabic,58,0,0,58.0,58.0,58.0,1.0,58,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,Excluded from the widget. Named as a top family language on the district homepage. OSPI template exists
Tukwila School District,schools,Burmese,78,0,3,78.0,0.0,54.6,0.7,78,https://www.tukwilaschools.org/services/community-family-liaisons/,2026-09-02,"Named Burmese family liaison who also covers Karen and Thai. Liaison page carries a Burmese-script heading, so the pathway is in-language. But Burmese is absent from the 20 document languages"
Highline School District,schools,Tigrinya,54,0,0,54.0,54.0,54.0,1.0,54,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,Excluded from the widget. OSPI template exists
Federal Way School District,schools,Dari,863,3,2,0.0,172.60000000000002,51.8,0.06,0,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,One of only three family handbook languages alongside Spanish and English
Highline School District,schools,Farsi,46,0,0,46.0,46.0,46.0,1.0,46,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,Excluded from the widget though Dari is included. Largely mutually intelligible. OSPI template exists
Auburn School District,schools,Ukrainian,737,3,2,0.0,147.4,44.2,0.06,0,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,In both document sets
Auburn School District,schools,Dari,679,3,2,0.0,135.8,40.7,0.06,0,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,In both document sets
Renton School District,schools,Vietnamese,635,3,2,0.0,127.0,38.1,0.06,0,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,Named as a top translation and interpretation language. Self-serve instructions published in Vietnamese
Tukwila School District,schools,Vietnamese,136,3,1,0.0,95.19999999999999,28.6,0.21,0,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,Among the 20 document languages. No Vietnamese liaison. Pocket Talk device only for oral
Federal Way School District,schools,Ukrainian,373,3,2,0.0,74.60000000000001,22.4,0.06,0,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,Language Access Plan published as a translated PDF
Auburn School District,schools,Marshallese,342,3,2,0.0,68.4,20.5,0.06,0,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,In both document sets. Auburn holds 342 of the region's 446 Marshallese families and covers the language
Federal Way School District,schools,Pashto,283,3,2,0.0,56.6,17.0,0.06,0,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,Language Access Plan published as a translated PDF
Auburn School District,schools,Pashto,229,3,2,0.0,45.800000000000004,13.7,0.06,0,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,"In both document sets. Covers Pashto and Dari, unlike Highline"
Tukwila School District,schools,Arabic,59,3,1,0.0,41.3,12.4,0.21,0,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,Among the 20 parent-rights document languages
Federal Way School District,schools,Russian,197,3,2,0.0,39.400000000000006,11.8,0.06,0,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,Language Access Plan published as a translated PDF
Renton School District,schools,Chinese-Cantonese,189,3,2,0.0,37.800000000000004,11.3,0.06,0,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,"District publishes in Chinese without naming a variety. Written Chinese is largely shared, so the written tier applies to both varieties. Oral interpretation is not variety-specific on the site"
Tukwila School District,schools,French,54,3,1,0.0,37.8,11.3,0.209,0,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,Among the 20 parent-rights document languages
Auburn School District,schools,Russian,176,3,2,0.0,35.2,10.6,0.06,0,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,In both document sets
Auburn School District,schools,Punjabi,152,3,2,0.0,30.400000000000002,9.1,0.06,0,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,In both document sets
Federal Way School District,schools,Somali,141,3,2,0.0,28.200000000000003,8.5,0.06,0,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,Language Access Plan published as a translated PDF
Auburn School District,schools,Vietnamese,136,3,2,0.0,27.200000000000003,8.2,0.06,0,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,In both document sets
Federal Way School District,schools,Vietnamese,132,3,2,0.0,26.400000000000002,7.9,0.06,0,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,Language Access Plan published as a translated PDF
Renton School District,schools,Somali,115,3,2,0.0,23.0,6.9,0.06,0,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,Among the published document languages
Renton School District,schools,Chinese-Mandarin,108,3,2,0.0,21.6,6.5,0.06,0,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,Same shared written Chinese document as Cantonese. Oral coverage unverified by variety
Tukwila School District,schools,Amharic,30,3,1,0.0,21.0,6.3,0.21,0,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,"Among the 20 parent-rights document languages. Contrast with Highline, which has 164 Amharic families and no Amharic materials"
Renton School District,schools,Russian,105,3,2,0.0,21.0,6.3,0.06,0,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,Among the published document languages. Self-serve instructions also in Russian
Renton School District,schools,Ukrainian,103,3,2,0.0,20.6,6.2,0.06,0,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,Among the published document languages. Self-serve instructions also in Ukrainian
Auburn School District,schools,Arabic,90,3,2,0.0,18.0,5.4,0.06,0,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,In the 25-language Parent Rights set but not the 11-language Language Access Plan
Federal Way School District,schools,Arabic,71,3,2,0.0,14.200000000000001,4.3,0.061,0,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,Language Access Plan published as a translated PDF
Auburn School District,schools,Somali,71,3,2,0.0,14.200000000000001,4.3,0.061,0,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,In both document sets. District page spells it both Somali and Samali
Tukwila School District,schools,Spanish,830,3,3,0.0,0.0,0.0,0.0,0,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,Among the 20 parent-rights document languages. Named Spanish family liaison on staff. Liaison page carries Spanish headings
Tukwila School District,schools,Somali,131,3,3,0.0,0.0,0.0,0.0,0,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,Among the 20 document languages. Named Somali family liaison. Liaison page carries Somali headings
