agency_id,agency_name,sector,language,written_tier,oral_tier,collection_tier,pathway_in_language,pathway_type,translated_page_count,translated_page_slugs,evidence_url,oral_availability,oral_hours,capture_date,notes,assigned_by,assignment_method
kcmetro,King County Metro,transit,Bambara,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Bambara,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Bangala,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Bangala,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Bassa,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Bassa,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Bengali,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Bengali,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Bosnian,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Bosnian,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Bulgarian,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Bulgarian,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Burmese,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Burmese,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Carolinian,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Carolinian,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Catalan,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Catalan,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Cebuano,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Cebuano,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Cham,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Cham,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Chamorro,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Chamorro,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Chin,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Chin,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Chinese-Cantonese,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Chinese-Cantonese,3,2,,True,in_language_document,2,i-speak-card; 2021-progress-report,https://www.soundtransit.org/sites/default/files/documents/i-speak-language-assistance-2019.pdf,,,2026-09-05,"On the 'I Speak' language assistance card, last updated 2019-07-05. Rule 4 accepts a point-to-your-language card as a pathway | Also has a 2021 system expansion progress report in this language | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Chinese-Fukienese,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Chinese-Fukienese,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Chinese-Mandarin,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Chinese-Mandarin,3,2,,True,in_language_document,2,i-speak-card; 2021-progress-report,https://www.soundtransit.org/sites/default/files/documents/i-speak-language-assistance-2019.pdf,,,2026-09-05,"On the 'I Speak' language assistance card, last updated 2019-07-05. Rule 4 accepts a point-to-your-language card as a pathway | Also has a 2021 system expansion progress report in this language | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Chinese-Taiwanese,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Chinese-Taiwanese,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Chuukese,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Chuukese,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Dari,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Dari,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Dinka,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Dinka,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Dutch,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Dutch,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Egyptian-Arabic,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Egyptian-Arabic,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Eritai,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Eritai,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Estonian,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Estonian,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Ewe,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Ewe,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Fallani,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Fallani,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Farsi,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Farsi,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
