agency_name,sector,language,families,written_tier,oral_tier,evidence_url,capture_date,translated_doc_count,translated_doc_types,pathway_in_language,notes,assigned_by
Auburn School District,schools,Russian,176,3,2,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,2,"language access plan; parent rights",TRUE,"In both document sets",EH
Auburn School District,schools,Punjabi,152,3,2,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,2,"language access plan; parent rights",TRUE,"In both document sets",EH
Auburn School District,schools,Vietnamese,136,3,2,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,2,"language access plan; parent rights",TRUE,"In both document sets",EH
Auburn School District,schools,Arabic,90,3,2,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,1,"parent rights",TRUE,"In the 25-language Parent Rights set but not the 11-language Language Access Plan",EH
Auburn School District,schools,Somali,71,3,2,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,2,"language access plan; parent rights",TRUE,"In both document sets. District page spells it both Somali and Samali",EH
Federal Way School District,schools,Spanish,3480,3,2,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,2,"language access plan; family handbook",TRUE,"Language Access Plan plus a translated family handbook. Language hotline 253-945-2198",EH
Federal Way School District,schools,Dari,863,3,2,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,2,"language access plan; family handbook",TRUE,"One of only three family handbook languages alongside Spanish and English",EH
Federal Way School District,schools,Ukrainian,373,3,2,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,1,"language access plan",TRUE,"Language Access Plan published as a translated PDF",EH
Federal Way School District,schools,Pashto,283,3,2,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,1,"language access plan",TRUE,"Language Access Plan published as a translated PDF",EH
Federal Way School District,schools,Russian,197,3,2,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,1,"language access plan",TRUE,"Language Access Plan published as a translated PDF",EH
Federal Way School District,schools,Somali,141,3,2,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,1,"language access plan",TRUE,"Language Access Plan published as a translated PDF",EH
Federal Way School District,schools,Vietnamese,132,3,2,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,1,"language access plan",TRUE,"Language Access Plan published as a translated PDF",EH
Federal Way School District,schools,Arabic,71,3,2,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,1,"language access plan",TRUE,"Language Access Plan published as a translated PDF",EH
Federal Way School District,schools,Farsi,68,0,0,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,0,,FALSE,"Not among the 11 plan languages. No website translation widget found. Language hotline exists but is advertised only in English. OSPI template exists",EH
Federal Way School District,schools,French,67,0,0,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,0,,FALSE,"Not among the 11 plan languages. OSPI template exists",EH
Kent School District,schools,Spanish,3724,1,2,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,0,,TRUE,"Unrestricted Google Translate widget, 135+ languages. District is expanding an hourly interpreter network. No human-translated documents located",EH
Kent School District,schools,Dari,962,1,2,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,0,,TRUE,"Covered by the unrestricted widget. No human-translated documents located",EH
Kent School District,schools,Ukrainian,537,1,2,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,0,,TRUE,"Covered by the unrestricted widget. No human-translated documents located",EH
Kent School District,schools,Vietnamese,535,1,2,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,0,,TRUE,"Covered by the unrestricted widget. No human-translated documents located",EH
Kent School District,schools,Punjabi,500,1,2,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,0,,TRUE,"Covered by the unrestricted widget. No human-translated documents located",EH
Kent School District,schools,Somali,405,1,2,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,0,,TRUE,"Covered by the unrestricted widget. No human-translated documents located",EH
Kent School District,schools,Russian,352,1,2,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,0,,TRUE,"Covered by the unrestricted widget. No human-translated documents located",EH
Kent School District,schools,Pashto,351,1,2,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,0,,TRUE,"Covered by the unrestricted widget. No human-translated documents located",EH
Kent School District,schools,Arabic,270,1,2,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,0,,TRUE,"Covered by the unrestricted widget. No human-translated documents located",EH
Kent School District,schools,Chinese-Cantonese,177,1,2,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,0,,TRUE,"Covered by the unrestricted widget. No human-translated documents located",EH
Renton School District,schools,Spanish,2695,3,2,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,1,"language access plan",TRUE,"Named by the district as a top translation and interpretation language. Self-serve Google Translate instructions also published in Spanish",EH
Renton School District,schools,Vietnamese,635,3,2,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,1,"language access plan",TRUE,"Named as a top translation and interpretation language. Self-serve instructions published in Vietnamese",EH
Renton School District,schools,Dari,199,0,0,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,0,,FALSE,"Third-largest need in the district. Absent from published documents and from the self-serve instruction languages. No website widget. OSPI template exists",EH
Renton School District,schools,Chinese-Cantonese,189,3,2,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,1,"language access plan",TRUE,"District publishes in Chinese without naming a variety. Written Chinese is largely shared, so the written tier applies to both varieties. Oral interpretation is not variety-specific on the site",EH
Renton School District,schools,Somali,115,3,2,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,1,"language access plan",TRUE,"Among the published document languages",EH
Renton School District,schools,Chinese-Mandarin,108,3,2,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,1,"language access plan",TRUE,"Same shared written Chinese document as Cantonese. Oral coverage unverified by variety",EH
Renton School District,schools,Russian,105,3,2,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,1,"language access plan",TRUE,"Among the published document languages. Self-serve instructions also in Russian",EH
Renton School District,schools,Pashto,103,0,0,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,0,,FALSE,"Absent from published documents and self-serve instruction languages. OSPI template exists",EH
Renton School District,schools,Ukrainian,103,3,2,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,1,"language access plan",TRUE,"Among the published document languages. Self-serve instructions also in Ukrainian",EH
Renton School District,schools,Arabic,72,0,0,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,0,,FALSE,"Absent from published documents and self-serve instruction languages. OSPI template exists",EH
Tukwila School District,schools,Spanish,830,3,3,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,1,"parent rights",TRUE,"Among the 20 parent-rights document languages. Named Spanish family liaison on staff. Liaison page carries Spanish headings",EH
Tukwila School District,schools,Portuguese,157,0,1,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,0,,FALSE,"Second-largest need in the district and absent from the 20 document languages and from the liaison roster. Portuguese appears in the site welcome banner only. Pocket Talk device is the only oral provision",EH
Tukwila School District,schools,Vietnamese,136,3,1,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,1,"parent rights",TRUE,"Among the 20 document languages. No Vietnamese liaison. Pocket Talk device only for oral",EH
Tukwila School District,schools,Dari,134,0,1,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,0,,FALSE,"Fourth-largest need and absent from the 20 document languages and liaison roster. OSPI template exists",EH
Tukwila School District,schools,Somali,131,3,3,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,1,"parent rights",TRUE,"Among the 20 document languages. Named Somali family liaison. Liaison page carries Somali headings",EH
Tukwila School District,schools,Burmese,78,0,3,https://www.tukwilaschools.org/services/community-family-liaisons/,2026-09-02,0,,TRUE,"Named Burmese family liaison who also covers Karen and Thai. Liaison page carries a Burmese-script heading, so the pathway is in-language. But Burmese is absent from the 20 document languages",EH
Tukwila School District,schools,Pashto,67,0,1,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,0,,FALSE,"Absent from the 20 document languages and liaison roster. OSPI template exists",EH
Tukwila School District,schools,Arabic,59,3,1,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,1,"parent rights",TRUE,"Among the 20 parent-rights document languages",EH
Tukwila School District,schools,French,54,3,1,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,1,"parent rights",TRUE,"Among the 20 parent-rights document languages",EH
Tukwila School District,schools,Amharic,30,3,1,https://www.tukwilaschools.org/about-our-district/language-access,2026-09-02,1,"parent rights",TRUE,"Among the 20 parent-rights document languages. Contrast with Highline, which has 164 Amharic families and no Amharic materials",EH
